udi,type,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,diff_temperature_k
1,M,1551,42.8,0,No Failure,10.5
2,L,1408,46.3,3,No Failure,10.5
5,L,1408,40.0,9,No Failure,10.5
6,M,1425,41.9,11,No Failure,10.5
7,L,1558,42.4,14,No Failure,10.5
8,L,1527,40.2,16,No Failure,10.5
9,M,1667,28.6,18,No Failure,10.399999999999977
11,H,1782,23.9,24,No Failure,10.5
12,H,1423,44.3,29,No Failure,10.5
16,L,1542,48.4,42,No Failure,10.599999999999966
17,M,1311,46.6,44,No Failure,10.599999999999966
18,M,1410,45.6,47,No Failure,10.5
19,H,1306,54.5,50,No Failure,10.399999999999977
22,L,1450,44.8,63,No Failure,10.5
25,M,1561,37.3,70,No Failure,10.399999999999977
26,L,1861,23.3,73,No Failure,10.5
27,L,1512,39.0,75,No Failure,10.399999999999977
28,H,1811,24.6,77,No Failure,10.299999999999955
29,L,1439,44.2,82,No Failure,10.299999999999955
30,L,1693,30.1,84,No Failure,10.399999999999977
31,M,1339,48.2,86,No Failure,10.399999999999977
32,L,1798,25.5,89,No Failure,10.399999999999977
33,L,1419,48.3,91,No Failure,10.399999999999977
34,L,1665,32.5,93,No Failure,10.400000000000034
36,M,1452,48.6,98,No Failure,10.399999999999977
37,M,1581,36.7,101,No Failure,10.300000000000011
38,L,1439,39.2,104,No Failure,10.300000000000011
39,H,1379,50.7,106,No Failure,10.300000000000011
40,L,1350,52.5,111,No Failure,10.300000000000011
41,L,1362,45.4,113,No Failure,10.300000000000011
42,L,1368,50.8,115,No Failure,10.300000000000011
43,M,1368,49.1,117,No Failure,10.300000000000011
44,H,1372,48.5,120,No Failure,10.399999999999977
45,M,1472,47.5,125,No Failure,10.300000000000011
46,L,1489,49.1,128,No Failure,10.300000000000011
47,M,1843,25.8,130,No Failure,10.300000000000011
48,L,1418,46.3,133,No Failure,10.300000000000011
49,H,1425,53.9,135,No Failure,10.399999999999977
52,L,1383,54.9,145,No Failure,10.200000000000045
53,H,1497,43.8,147,No Failure,10.199999999999989
54,L,1565,35.1,152,No Failure,10.300000000000011
57,L,1477,42.4,158,No Failure,10.300000000000011
58,L,1513,40.3,160,No Failure,10.300000000000011
59,M,1661,29.5,162,No Failure,10.199999999999989
60,L,1378,54.4,165,No Failure,10.300000000000011
61,L,1393,52.6,167,No Failure,10.300000000000011
63,L,1829,22.9,172,No Failure,10.199999999999989
65,L,1523,38.6,177,No Failure,10.100000000000023
66,L,1394,45.1,179,No Failure,10.100000000000023
67,M,1679,28.7,181,No Failure,10.0
68,H,1466,44.1,184,No Failure,10.099999999999966
69,L,1527,32.4,189,No Failure,10.099999999999966
70,L,1410,65.7,191,Power Failure,10.100000000000023
72,L,1452,45.5,196,No Failure,10.200000000000045
73,L,1369,44.4,198,No Failure,10.200000000000045
74,L,1592,35.0,200,No Failure,10.100000000000023
78,L,1455,41.3,208,Tool Wear Failure,10.099999999999966
79,L,1398,51.5,0,No Failure,10.099999999999966
80,L,1402,37.9,2,No Failure,10.099999999999966
81,H,1445,49.9,4,No Failure,10.0
82,L,1450,47.5,9,No Failure,10.0
83,L,1453,40.8,11,No Failure,10.0
84,L,1469,40.1,13,No Failure,10.0
87,H,1436,43.9,20,No Failure,10.0
88,L,1544,31.8,25,No Failure,10.0
90,M,1487,39.5,30,No Failure,10.0
92,L,1830,24.9,35,No Failure,10.0
93,M,1727,27.1,37,No Failure,10.0
95,L,1622,31.9,42,No Failure,9.899999999999977
96,M,1351,52.2,44,No Failure,10.0
97,M,1575,35.3,47,No Failure,10.0
99,L,1529,32.7,53,No Failure,9.900000000000034
100,L,1523,44.4,55,No Failure,10.0
102,L,1991,20.7,59,No Failure,10.0
104,M,1441,40.5,63,No Failure,10.0
105,L,1450,43.4,66,No Failure,9.899999999999977
107,L,1445,48.5,70,No Failure,9.899999999999977
108,M,1497,46.8,72,No Failure,10.0
109,H,1621,32.7,75,No Failure,9.900000000000034
110,L,1572,34.1,80,No Failure,9.800000000000011
112,H,1499,43.5,84,No Failure,9.900000000000034
113,M,1498,39.5,89,No Failure,9.899999999999977
115,L,1680,29.4,95,No Failure,9.800000000000011
117,L,1564,34.1,99,No Failure,9.800000000000011
118,L,1599,33.0,101,No Failure,9.800000000000011
119,M,1707,28.1,103,No Failure,9.800000000000011
120,L,1467,40.7,106,No Failure,9.800000000000011
122,L,1558,41.2,110,No Failure,9.800000000000011
125,L,1727,29.4,116,No Failure,9.800000000000011
127,L,1329,60.5,120,No Failure,9.600000000000023
128,L,1413,46.5,122,No Failure,9.700000000000045
129,L,1587,38.6,124,No Failure,9.600000000000023
131,L,1473,41.1,128,No Failure,9.599999999999966
132,L,1737,27.7,130,No Failure,9.599999999999966
133,M,1441,43.2,132,No Failure,9.699999999999989
135,L,1369,53.0,138,No Failure,9.599999999999966
136,M,1711,28.5,140,No Failure,9.699999999999989
137,H,1420,45.7,143,No Failure,9.800000000000011
140,L,1268,55.8,155,No Failure,9.800000000000011
141,L,1511,36.1,157,No Failure,9.800000000000011
144,H,1407,50.5,164,No Failure,9.799999999999955
145,M,1391,42.4,169,No Failure,9.799999999999955
148,L,1515,40.1,179,No Failure,10.0
149,M,1379,48.0,181,No Failure,10.0
151,L,1422,42.7,186,No Failure,9.900000000000034
153,M,1584,41.0,191,No Failure,9.800000000000011
154,L,1850,27.0,194,No Failure,9.800000000000011
155,L,1528,36.2,196,No Failure,9.800000000000011
156,H,1987,19.8,198,No Failure,9.800000000000011
157,M,1495,46.0,203,No Failure,9.700000000000045
159,M,1499,40.0,211,No Failure,9.800000000000011
160,L,1471,47.0,214,No Failure,9.800000000000011
161,L,1282,60.7,216,Overstrain Failure,9.800000000000011
162,L,1412,52.3,218,Overstrain Failure,9.800000000000011
163,L,1586,35.5,0,No Failure,9.800000000000011
164,M,1468,43.8,2,No Failure,9.800000000000011
165,M,1440,43.6,5,No Failure,9.800000000000011
166,L,1733,26.0,8,No Failure,9.899999999999977
167,H,1612,32.6,10,No Failure,9.800000000000011
168,H,1458,42.9,15,No Failure,9.900000000000034
170,L,1318,59.1,22,No Failure,9.900000000000034
172,L,1462,50.8,27,No Failure,9.900000000000034
174,M,1591,33.7,32,No Failure,9.800000000000011
175,L,1306,58.3,35,No Failure,9.900000000000034
176,L,1382,43.5,37,No Failure,9.900000000000034
178,L,1988,21.4,41,No Failure,10.0
179,L,1436,50.2,43,No Failure,10.0
180,L,1304,49.8,45,No Failure,10.100000000000023
181,L,1475,49.9,47,No Failure,10.100000000000023
182,H,1824,24.2,49,No Failure,10.100000000000023
183,M,1342,48.1,54,No Failure,10.099999999999966
184,L,1485,40.7,57,No Failure,10.099999999999966
185,L,1667,30.6,59,No Failure,10.0
189,L,1606,33.6,67,No Failure,10.199999999999989
192,L,1666,34.6,74,No Failure,10.199999999999989
193,H,1398,51.8,76,No Failure,10.199999999999989
194,H,1678,34.6,81,No Failure,10.199999999999989
198,M,1527,40.9,96,No Failure,10.200000000000045
200,L,1433,47.1,101,No Failure,10.200000000000045
201,L,1609,35.0,103,No Failure,10.200000000000045
202,L,1575,41.2,105,No Failure,10.199999999999989
204,L,1490,37.9,110,No Failure,10.100000000000023
205,L,1741,32.8,112,No Failure,10.100000000000023
208,M,1421,60.7,119,Power Failure,10.300000000000011
211,L,1523,36.1,126,No Failure,10.300000000000011
215,M,1589,37.1,137,No Failure,10.300000000000011
218,L,1664,31.6,144,No Failure,10.199999999999989
220,M,1434,46.2,148,No Failure,10.199999999999989
221,L,1416,52.7,151,No Failure,10.199999999999989
223,L,1304,45.0,158,No Failure,10.200000000000045
224,L,1569,34.4,160,No Failure,10.200000000000045
225,L,1584,29.3,162,No Failure,10.300000000000011
226,L,1362,53.8,164,No Failure,10.199999999999989
227,L,1329,49.2,166,No Failure,10.099999999999966
230,L,1538,32.2,173,No Failure,10.199999999999989
231,L,1570,34.8,175,No Failure,10.300000000000011
232,L,1408,43.1,177,No Failure,10.099999999999966
233,L,1424,47.6,179,No Failure,10.199999999999989
234,L,1512,34.9,181,No Failure,10.199999999999989
235,L,1478,42.9,183,No Failure,10.199999999999989
236,M,1680,33.7,185,No Failure,10.199999999999989
237,L,1495,38.7,188,No Failure,10.199999999999989
238,M,1552,36.6,190,No Failure,10.100000000000023
239,L,1393,50.3,193,No Failure,10.200000000000045
240,L,1611,30.6,195,No Failure,10.199999999999989
241,M,1339,51.6,197,No Failure,10.100000000000023
242,L,1777,24.3,200,No Failure,10.100000000000023
245,M,1395,49.1,206,No Failure,10.199999999999989
246,M,1627,31.4,209,No Failure,10.200000000000045
247,L,1585,33.5,212,No Failure,10.200000000000045
248,L,1469,45.5,214,No Failure,10.199999999999989
250,L,1405,56.2,218,Overstrain Failure,10.300000000000011
251,L,1662,32.7,0,No Failure,10.300000000000011
252,M,1466,42.6,2,No Failure,10.199999999999989
254,L,1357,48.2,7,No Failure,10.199999999999989
255,L,1514,37.9,9,No Failure,10.199999999999989
256,L,1489,40.4,11,No Failure,10.199999999999989
257,L,1331,63.0,13,No Failure,10.199999999999989
258,L,1615,29.5,15,No Failure,10.0
260,M,1420,63.9,19,Power Failure,10.099999999999966
263,M,1736,26.8,27,No Failure,10.099999999999966
265,L,1390,47.5,33,No Failure,10.099999999999966
266,L,1454,37.1,35,No Failure,10.100000000000023
268,L,1954,21.1,42,No Failure,10.100000000000023
269,H,1800,24.8,44,No Failure,10.100000000000023
270,L,1524,37.0,49,No Failure,10.0
271,H,1520,39.6,51,No Failure,10.0
272,M,1452,40.8,56,No Failure,10.0
273,L,1484,40.4,59,No Failure,10.0
274,L,1426,46.0,61,No Failure,9.899999999999977
275,L,1652,28.5,63,No Failure,9.899999999999977
277,M,1750,26.6,67,No Failure,9.899999999999977
278,H,1479,50.7,70,No Failure,10.0
279,M,1620,29.4,75,No Failure,10.0
280,L,1819,23.4,78,No Failure,10.100000000000023
281,M,1456,43.7,80,No Failure,10.0
283,M,1390,49.8,85,No Failure,10.0
284,L,1469,43.0,88,No Failure,10.0
286,L,1568,36.0,92,No Failure,10.100000000000023
287,L,1589,33.2,94,No Failure,10.100000000000023
289,H,1385,42.2,98,No Failure,10.199999999999989
291,L,1438,45.6,105,No Failure,10.299999999999955
292,L,1473,42.6,107,No Failure,10.300000000000011
293,L,1335,40.2,109,No Failure,10.299999999999955
294,H,1392,44.8,111,No Failure,10.399999999999977
