udi,type,rotational_speed_rpm,torque_nm,tool_wear_min,diff_temperature_k
446,L,1793,26.7,70,11.100000000000023
7076,L,1536,47.4,192,9.800000000000011
1191,L,1460,42.1,41,11.199999999999989
2618,L,1670,35.9,68,9.700000000000045
5067,L,1550,30.9,9,9.0
191,L,1477,49.9,72,10.199999999999989
2601,L,1422,47.3,25,9.699999999999989
3300,L,1390,45.8,63,9.199999999999989
6729,L,1891,23.2,122,9.399999999999977
4824,L,1493,38.7,14,8.399999999999977
6848,L,1757,28.0,6,10.199999999999989
1238,M,1502,37.3,181,11.299999999999955
199,L,1588,35.0,99,10.300000000000011
3703,L,1434,44.9,15,9.199999999999989
6984,M,1334,53.9,150,10.300000000000011
3601,L,1523,34.7,181,8.800000000000011
1737,L,1544,35.9,132,9.5
6992,L,1509,33.4,172,10.300000000000011
9921,H,1450,43.9,28,10.199999999999989
5593,L,1437,46.7,65,9.399999999999977
2910,L,1500,44.1,122,8.900000000000034
8041,L,1498,39.3,23,11.099999999999966
8525,L,1468,46.2,10,11.099999999999966
4475,L,1563,35.0,8,7.800000000000011
7611,M,1507,43.4,41,10.800000000000011
2405,M,2008,20.3,178,9.599999999999966
9048,L,1488,37.4,69,11.099999999999966
146,L,1513,33.6,172,9.899999999999977
2049,L,1465,41.5,127,9.899999999999977
2964,M,1439,43.0,61,8.900000000000034
8868,L,1566,41.9,50,11.0
9211,M,2456,13.9,82,11.100000000000023
8598,L,1410,47.0,191,10.699999999999989
1123,L,1541,38.5,98,11.100000000000023
3894,L,1549,40.6,66,8.899999999999977
5175,M,1390,47.8,83,9.300000000000011
2477,H,1449,42.4,149,9.5
5531,M,1355,50.1,104,9.5
7916,H,1527,35.1,164,11.300000000000011
5441,H,1698,30.0,89,9.5
5764,H,1451,39.4,70,9.399999999999977
3779,M,1366,54.4,0,8.700000000000045
8844,H,1564,38.0,191,11.5
4227,L,1596,37.1,43,8.699999999999989
7525,L,1639,31.1,31,11.300000000000011
3002,L,1445,43.9,164,9.300000000000011
6076,L,1813,28.5,197,9.899999999999977
7154,L,1493,47.3,172,9.800000000000011
1108,M,1515,42.1,55,10.800000000000011
5754,L,1416,54.1,48,9.400000000000034
7020,L,1741,27.1,39,10.0
4094,M,1573,32.1,143,8.5
1552,L,1458,40.1,111,10.400000000000034
8607,M,1505,37.2,215,10.899999999999977
3913,L,1475,40.4,126,9.0
5295,L,1442,48.5,174,9.5
931,M,1453,47.3,9,10.399999999999977
130,L,1559,34.3,126,9.600000000000023
9041,L,1550,37.0,54,11.0
3420,L,1611,33.8,144,9.0
4347,L,1598,30.4,124,7.899999999999977
8329,L,1325,52.2,127,10.899999999999977
1288,L,1419,41.5,105,11.100000000000023
9931,L,1452,45.5,63,10.0
6441,L,1648,31.7,46,9.599999999999966
5052,L,1480,39.9,176,9.100000000000023
7960,L,1585,32.3,50,11.100000000000023
5127,L,1802,25.4,170,9.199999999999989
4137,L,1487,48.0,36,8.400000000000034
3481,L,1400,58.2,79,8.900000000000034
9585,L,1529,41.3,17,11.199999999999989
9976,M,1589,34.1,174,9.699999999999989
2828,L,1412,51.6,153,9.0
6088,M,1599,33.0,7,9.900000000000034
7696,L,1488,47.7,22,11.099999999999966
1580,L,1444,43.8,176,10.0
1571,L,1452,43.5,158,10.199999999999989
7750,L,1674,33.0,172,11.200000000000045
4831,L,1756,29.7,28,8.5
6951,H,1374,53.1,66,10.600000000000023
8367,M,1836,22.8,18,10.900000000000034
1799,M,1431,52.9,92,9.5
4199,M,1432,44.5,195,8.700000000000045
8046,M,1366,55.1,36,11.199999999999989
9150,M,1429,50.5,129,11.100000000000023
4538,L,1548,35.3,170,7.899999999999977
8352,M,1686,26.2,189,10.900000000000034
589,L,1628,33.4,229,11.799999999999955
3132,L,1660,32.7,57,9.399999999999977
2208,L,1591,37.5,109,9.399999999999977
2383,L,1601,31.4,121,9.199999999999989
6131,L,1473,44.2,116,9.899999999999977
4467,L,1470,41.1,205,7.800000000000011
5117,L,1401,53.9,142,9.600000000000023
6584,M,1503,38.2,200,9.0
1713,L,1551,33.8,72,9.599999999999966
2863,L,1867,23.0,242,8.899999999999977
5059,L,1526,42.5,194,9.0
5864,M,1758,25.4,88,9.700000000000045
9241,M,1362,49.6,158,10.599999999999966
9917,M,1553,34.9,18,10.300000000000011
3643,L,1309,57.6,77,9.300000000000011
7143,H,1452,41.5,139,9.399999999999977
62,M,1592,38.2,169,10.199999999999989
7385,L,1614,36.2,108,10.699999999999989
6687,L,1715,24.8,17,9.300000000000011
6700,M,1516,40.4,48,9.100000000000023
2850,L,1766,28.2,207,8.900000000000034
8670,M,1471,52.3,152,11.300000000000011
